,FIPS,totpop,age_under_5_p,age_5_9_p,age_10_14_p,age_15_17_p,age_18_19_p,age_20_p,age_21_p,age_22_24_p,age_25_29_p,age_30_34_p,age_35_39_p,age_40_44_p,age_45_49_p,age_50_54_p,age_55_59_p,age_60_61_p,age_62_64_p,age_65_66_p,age_67_69_p,age_70_74_p,age_75_79_p,age_80_84_p,age_85_over_p,sex_male_p,sex_female_p,race_white_p,race_black_p,race_native_amer_p,race_asian_p,race_pac_islander_p,race_other_p,race_multi_p,kid_home_fam_p,kid_home_fam2_p,kid_home_fam1_p,kid_home_nonfam_p,adult_home_alone_p,adult_home_fam_p,adult_home_nonfam_p,marry_never_p,married_p,marry_past_p,ed_at_HS_p,ed_at_some_coll_p,ed_at_coll_grad_p,pov_p,pov_kid_p,pov_adult_p,disability_p,urban_2013,urban_2006,vet_p,earn_inc_p,ss_inc_p,ssi_inc_p,pub_inc_p,med_hh_inc,gini_index,inc_per_capita,labor_force_p,unemp_p,ins_priv_18_64_p,ins_priv_65_up_p,ins_pub_18_64_p,ins_pub_65_up_p,ins_none_18_64_p,ins_none_65_up_p,hisp_p,dm_mean,dm_median,dm_max,dm_min,FIPS.1
0,1001,55221,5.870954890349686,7.044421506311005,7.8122453414461885,4.704731895474548,2.6004599699389725,1.2676336900816718,1.1571684685174122,3.7721156806287466,6.173376070697743,6.003150975172487,7.366762644646058,6.606182430597056,7.392115318447693,7.4084134658915985,6.392495608554717,2.1169482624363916,2.7688741601926803,1.892396008764781,2.678328896615418,3.68700313286612,2.459209358758444,1.7257927237826192,1.099219499827964,48.432661487477596,51.567338512522404,77.39990221111533,18.679487875989206,0.4165082124554065,0.9670234150051612,0.04346172651708589,0.9253725937596204,1.5682439651581823,98.97377423033066,74.0664196123147,24.907354618015965,1.026225769669327,13.091757769315809,83.22073455349465,3.687507677189535,24.950314106225015,53.45516847515705,21.594517418617936,46.36140862909221,30.408326220435587,23.230265150472203,12.879382402861678,22.840809146877753,12.264202826816256,17.271474506201194,3.0,3.0,40.552882254738286,75.61776818984114,31.937634830358892,5.707001372818199,14.429299862718182,51281.0,0.4227,24974.0,63.282236695475596,6.62127259920169,76.64589132276413,68.68604175194433,13.490862882730243,99.7134670487106,15.46048650611158,0.09551098376313276,2.6077035910251536,7.222222222222222,7.0,11.0,3.0,1001.0
1,1003,195121,5.378201218730941,6.553369447676058,6.5948821500504815,3.839668718385002,2.204273245832073,0.8302540474884814,1.170555706459069,3.215440675273292,5.859441064775192,5.7948657499705325,5.660077592878264,6.961321436442003,6.762470467043527,7.178622495784667,6.684570087279174,2.70652569431276,4.4751718164626055,2.6824380768856253,3.6828429538594003,4.424946571614536,3.135490285515142,2.2058107533274223,1.998759743953752,48.8486631372328,51.1513368627672,86.43149635354473,9.601734308454754,0.5975779131923268,0.6698407654737316,0.0,0.9583796721009016,1.7409709872335626,99.67820530501541,72.98073828897164,26.697467016043767,0.3217946949845998,13.958021090268769,81.62632990342027,4.41564900631095,23.72493269254963,51.47195732581839,24.803109981631984,39.2632170568098,31.7515930540653,28.985189889124893,13.411660731460064,23.686543686543693,13.310839564715181,13.772889972506096,4.0,5.0,38.89498670968937,72.46572384756557,37.38799524991903,3.93770916549714,9.772751808269456,50254.0,0.4564,27317.0,61.34586128554483,7.285658101730466,70.75014859620293,64.00068947685942,13.148141673368062,97.47479100232698,19.958218244117337,0.4653968801172111,4.497721926394392,13.333333333333336,13.0,21.0,7.0,1003.0
2,1005,26932,5.480469330164858,6.505272538244468,5.829496509728204,3.4902717956334466,2.053319471260953,1.4629437100846576,1.0656468141987223,4.277439477201842,7.322144660626765,7.0473785830981726,7.244170503490271,5.231694638348434,6.995395811673845,7.05109163819991,6.861725828011288,2.5211644140799048,3.501410960938661,2.316946383484331,3.28976682013961,4.106638942521906,2.751373830387643,2.0421803059557404,1.5520570325263627,53.82815980989157,46.171840190108426,47.363730877766216,46.76592900638645,0.19307886529036086,0.9059854448240012,0.0,3.4457151344125947,1.3255606713203625,99.61659114674104,43.37748344370861,56.23910770303242,0.3834088532589752,16.215478659534984,81.07739329767494,2.7071280427900883,33.342369205746806,36.626908828047355,30.030721966205835,61.202679710761366,26.281369629944702,12.515950659293914,26.72743922743923,82.81500480923373,26.49820491576913,22.96758104738155,6.0,5.0,28.90440690761536,64.99674690956408,40.07807417046194,12.242463673823464,26.371719800477123,32964.0,0.4642,16824.0,56.538587490448634,17.33758084757216,56.676056338028175,59.582726831635135,25.380281690140844,97.9864143619602,23.598591549295772,1.4070839398350317,4.6079013812564975,3.7777777777777777,3.0,7.0,1.0,1005.0
3,1007,22604,5.012387188108299,6.450185807821626,6.28207396920899,4.016988143691382,3.0746770483100336,1.2564147938417978,1.154662891523624,3.6099805344186873,6.835073438329498,6.817377455317643,6.817377455317643,8.423287913643602,6.140506105114138,7.711024597416388,5.9768182622544686,2.6278534772606617,3.3932047425234466,1.7032383648911698,3.096797027074854,3.986020173420633,2.4995576004247035,1.9111661652804808,1.203326844806229,53.4109007255353,46.58909927446469,76.65457441160856,21.43868341886392,0.4114316050256592,0.09290391081224562,0.0,0.03096797027074854,1.371438683418864,100.0,70.43032786885246,29.569672131147538,0.0,9.791929382093317,85.97099621689784,4.237074401008827,27.908352605819392,45.45258968428978,26.639057709890817,61.41147866146267,27.94164693838377,10.64687440015356,16.795878075793322,38.62343572241184,15.47627697449684,14.482426576793454,2.0,2.0,20.05429250084832,67.980646079408,41.070157962146006,6.901949622883165,16.578909918884303,38678.0,0.441,18431.0,56.438011327879174,8.251561106155219,70.8,58.59872611464968,21.32549019607843,96.33757961783442,14.658823529411766,0.0,2.2208458679879666,8.888888888888891,8.0,17.0,3.0,1007.0
4,1009,57710,6.142782879916827,6.537861722405128,6.794316409634379,4.236700745104835,2.5610812684110207,0.9149194247097556,1.2701438225610813,3.2559348466470284,5.6991855830878535,6.028417951828105,5.524172587073298,7.376537861722405,6.993588632819267,7.295096170507712,6.4806792583607695,2.405129093744585,4.0010396811644435,2.9665569225437527,3.086120256454687,4.004505285045918,2.8123375498180563,2.1590712181597644,1.4538208282793277,49.40564893432681,50.5943510656732,95.09790330965171,1.5317969156125455,0.5648934326806446,0.1438225610812684,0.0,0.9617050771096864,1.6998787038641483,99.92684175872412,72.5656595215451,27.361182237179012,0.07315824127587972,10.89197772356975,87.1910526073549,1.916969669075344,19.868304964386393,55.13761270469756,24.994082330916058,54.94062119366626,32.168595209094605,12.89078359723914,16.720932675139167,37.44171903506994,15.535164951734377,16.240167802831674,2.0,2.0,29.73200281863024,71.7957340507302,36.174096848578024,6.7303996925441965,13.67217524980784,45813.0,0.4037,20532.0,54.71711115705327,7.4139378673383725,71.52763614113806,59.845853234910976,16.383555257713937,96.50455927051672,17.146936278080478,0.9118541033434651,8.629353664876103,10.888888888888891,11.0,17.0,5.0,1009.0
5,1011,10678,6.321408503465069,6.180932758943622,5.384903539988762,3.0342760816632333,1.2361865517887245,1.2174564525191984,2.5753886495598426,4.392208278703877,5.534744334144971,6.8364862333770375,8.306799026034838,7.482674658175687,6.443154148716987,6.864581382281326,5.5534744334144985,3.6523693575575953,4.392208278703877,3.0061809327589435,3.0342760816632333,2.8001498407941563,2.4068177561341075,1.6857089342573517,1.657613785353062,53.006180932758944,46.993819067241056,26.64356621090091,70.70612474246114,1.16126615471062,0.2060310919647874,0.0,0.0,1.28301179996254,100.0,26.726457399103136,73.27354260089686,0.0,15.047984644913628,77.00575815738964,7.9462571976967356,44.08074817518249,27.24680656934307,28.672445255474447,68.45926324280721,17.67948373218607,13.861253025006725,24.618736383442265,62.40875912408759,26.129445690483816,18.65044028890868,6.0,6.0,15.206063477025106,62.53054575074667,40.673364105348895,12.24545207711105,23.35052945967961,31938.0,0.4648,17580.0,59.85012066556585,17.975382003395588,52.11619553334374,59.65986394557822,22.942370763704513,92.51700680272108,28.01811650788693,0.8163265306122449,4.42966847724293,4.666666666666667,4.0,11.0,1.0,1011.0
6,1013,20354,6.106907733123712,6.824211457207428,6.455733516753464,3.8419966591333403,1.7588680357669255,1.051390390095313,1.4444335265795418,3.753561953424388,5.718777635845534,6.347646654220299,5.6352559693426345,5.925125282499755,6.101994693917657,7.0305591038616475,6.986341751007173,3.5324751891520094,3.6798663653335963,2.323867544463005,3.198388523140415,4.0778225410238775,3.1001277390193573,2.869214896334873,2.235432838754053,46.68369853591432,53.31630146408568,54.15643116832072,44.02574432543972,0.06386950967868724,0.3979561756902821,0.0,0.28986931315711895,1.0661295077134714,99.59813874788496,48.20219966159052,51.39593908629442,0.4018612521150592,16.235248092847367,80.03520897176763,3.729542935385017,31.612627986348123,40.66309117503657,27.724280838615307,59.84567019148328,25.63589597027723,14.518433838239494,25.364736344171693,64.5927997203775,26.764511873350926,20.42351768809168,6.0,6.0,28.03001154290112,66.47219463753724,41.19910625620656,9.793942403177756,23.89523336643496,32229.0,0.4506,18390.0,56.5180550123843,10.69080844193288,61.94809571958208,59.873344847438105,23.036737445230877,97.98503166378813,19.700033704078194,0.0,1.1791294094526874,6.0,5.0,11.0,3.0,1013.0
7,1015,116648,5.843220629586448,6.462176805431727,6.1449831973115705,3.9083396200534932,2.761298950689253,1.7385638845072355,1.5885398806666209,4.084939304574446,6.564193128043344,6.091831835950894,5.610040463617036,6.535045607297167,6.473321445717027,7.146286262944928,6.952540977985048,2.9970509567245047,3.609148892394212,2.116624374185584,2.952472395583293,3.846615458473356,2.7964474315890544,2.156059255195117,1.6202592414786368,48.24257595500994,51.757424044990046,75.1105891228311,20.484706124408483,0.1911734448940402,0.8572800219463685,0.00600096015362458,0.9961593855016804,2.354090940264728,99.72596395075071,60.23003589486279,39.49592805588792,0.2740360492492956,14.292052513025867,81.22909603877045,4.478851448203682,27.475138237705778,46.30595210562832,26.218909656665893,50.931385006353246,31.510800508259212,17.557814485387553,20.532208939983448,46.20380481636875,20.97477976892889,20.001736186466427,4.0,4.0,36.116988866116436,72.09106612924658,39.0818089205829,7.4567037250298975,20.740133764450547,41703.0,0.4464,21374.0,59.85634566683849,11.829567366194286,68.50949115136955,72.93897671256163,20.58720824661629,97.99422063573007,17.89839788806168,0.2436398662813757,3.4934160894314514,8.333333333333334,8.0,13.0,5.0,1015.0
8,1017,34079,5.986091141171983,5.739605035359019,6.0389095924176175,3.8557469409313656,2.1039349746177995,0.9712726312391796,0.9184541799935444,4.5071745062941995,5.789489128202119,5.584084040024649,5.431497403092814,6.807711493881862,6.6903371577804505,7.5530385281258265,8.186859943073447,2.811115349628804,3.0605358138443033,2.4589923413245693,3.139763490712756,4.668564218433639,3.0576014554417683,2.3416180052231583,2.297602629185129,47.70679890841868,52.293201091581324,57.66601132662343,40.312215734029756,0.1672584289445113,0.7629331846591743,0.026409225622817573,0.035212300830423426,1.0299597992898852,99.34809181040336,47.34483226945539,52.003259540947994,0.6519081895966318,17.9006703229738,79.3989945155393,2.7003351614868984,28.7814451382694,40.93487957181088,30.283675289919714,59.45662215503486,28.95775594188292,11.58562190308222,21.589930833852826,59.11469690361971,20.899761773868423,18.871727981501788,5.0,5.0,27.54253166454321,66.16377747153115,40.356857909625006,9.516210923333574,17.19735983172554,34177.0,0.4831,21071.0,56.510525317655976,8.805960131552453,62.26774887541561,57.77101302215457,21.46978290631723,99.50955521731777,21.474672403676898,0.0,0.4460224771853634,8.0,7.0,13.0,5.0,1017.0
9,1019,26008,4.94078745001538,5.802060904337129,5.975084589357119,3.8372808366656415,1.937865272223931,1.0727468471239618,1.2919101814826206,3.110581359581668,4.740848969547831,4.963857274684711,5.344509381728699,6.4172562288526604,7.101661027376193,7.65149184866195,7.70532143955706,3.264380190710551,5.0176868655798215,3.645032297754537,4.22177791448785,4.567825284527838,3.887265456782528,2.3608120578283605,1.1419563211319594,49.888495847431564,50.111504152568436,92.92140879729315,4.925407566902491,0.5536757920639803,0.3383574284835435,0.015379883112888343,0.06536450322977545,1.1804060289141802,99.47159841479522,68.05057558029817,31.42102283449708,0.5284015852047557,14.497318045371784,84.98105408198415,0.5216278726440627,16.385041551246537,60.7617728531856,22.85318559556787,56.94459271912032,29.294331162592076,13.761076118287606,19.2297165200391,42.981738893431455,19.666823640216624,22.362885634153944,6.0,6.0,33.93185558029232,62.918957261925875,43.66022344387302,8.432346160666784,19.125731512679554,36296.0,0.4573,21811.0,53.40154459147032,7.452100221075902,70.00195045835771,69.80598221503638,21.94265652428321,99.31285367825384,15.506143943826801,0.2627324171382377,1.5033835742848354,10.111111111111109,9.0,17.0,5.0,1019.0
